kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Bandar Lampung,2023,5,17.43548387096774,26.858709677419355,29.254193548387097,25.17096774193548,86.31258064516129,142.91
Bandar Lampung,2023,6,15.589666666666666,26.41166666666667,28.785,24.688666666666666,86.80099999999999,146.37
Bandar Lampung,2023,7,15.858064516129032,25.973870967741938,28.513870967741934,24.22225806451613,86.22258064516129,220.47
Bandar Lampung,2023,8,19.356451612903225,25.956129032258065,29.397096774193546,23.546774193548387,82.88741935483871,58.22
Bandar Lampung,2023,9,22.101999999999997,26.80666666666667,31.635666666666665,23.393666666666668,74.11933333333333,4.06
Bandar Lampung,2023,10,22.809354838709677,28.433870967741935,33.567096774193544,24.701612903225808,70.33741935483872,7.43
Bandar Lampung,2023,11,18.096,28.031000000000002,32.16566666666667,25.266333333333332,77.43433333333334,110.10000000000001
Bandar Lampung,2023,12,18.908709677419353,27.340967741935486,31.270967741935483,24.74225806451613,79.33225806451614,151.22
Bandar Lampung,2024,1,17.054193548387094,26.727096774193548,29.48225806451613,24.794193548387096,86.16451612903225,280.13
Bandar Lampung,2024,2,18.734137931034482,26.861379310344827,29.466206896551725,24.95310344827586,86.23724137931035,235.5
Bandar Lampung,2024,3,18.561612903225804,26.996129032258064,29.68935483870968,25.026451612903223,86.47612903225807,320.1
Bandar Lampung,2024,4,16.710333333333335,27.38,29.851,25.561666666666667,87.72833333333332,256.03000000000003
Bandar Lampung,2024,5,16.106129032258064,27.37516129032258,29.888387096774192,25.53516129032258,87.08064516129032,174.59
Bandar Lampung,2024,6,15.209,26.926333333333332,29.349333333333334,25.089666666666666,85.71033333333334,142.57
Bandar Lampung,2024,7,17.488387096774193,26.196129032258067,29.073548387096775,24.13935483870968,83.62290322580645,95.74
Bandar Lampung,2024,8,19.11032258064516,26.679032258064513,30.531290322580645,23.89548387096774,79.93290322580646,46.08
Bandar Lampung,2024,9,20.28166666666667,27.509,31.913,24.486666666666668,75.15266666666666,71.67999999999999
Bandar Lampung,2024,10,22.120645161290323,28.09258064516129,32.55935483870968,25.003225806451614,73.98645161290322,67.06
Bandar Lampung,2024,11,17.488333333333333,27.142999999999997,30.455333333333332,24.909666666666666,82.80466666666666,264.22
Bandar Lampung,2024,12,15.973225806451614,26.70387096774194,29.668064516129032,24.596451612903227,84.72258064516129,231.26
Lampung Barat,2018,1,16.938709677419357,23.36258064516129,26.960322580645162,20.769032258064517,86.88483870967741,164.02
Lampung Barat,2018,2,19.874642857142856,23.711785714285718,26.798214285714288,21.38214285714286,88.86357142857142,377.32
Lampung Barat,2018,3,19.3341935483871,23.653225806451612,26.668387096774193,21.510645161290324,89.25322580645161,390.08
Lampung Barat,2018,4,19.419333333333334,24.41033333333333,27.71833333333333,21.971333333333334,88.541,205.82999999999998
Lampung Barat,2018,5,18.595483870967744,24.26516129032258,27.716129032258067,21.693225806451615,88.61419354838709,136.88
Lampung Barat,2018,6,16.45,23.765,26.831333333333337,21.454333333333334,89.39633333333333,118.28
Lampung Barat,2018,7,18.671290322580642,23.32193548387097,27.34032258064516,20.34741935483871,85.53612903225806,13.66
Lampung Barat,2018,8,18.283548387096772,23.937419354838706,28.623225806451615,20.730645161290322,80.13129032258065,41.06
Lampung Barat,2018,9,19.555,24.792666666666666,30.163999999999998,20.847666666666665,74.578,45.51
Lampung Barat,2018,10,19.0458064516129,25.980645161290322,31.46741935483871,22.02258064516129,72.46387096774194,73.21000000000001
Lampung Barat,2018,11,17.436333333333334,24.869333333333334,29.014,22.182666666666666,82.071,168.05
Lampung Barat,2018,12,16.271612903225808,24.356774193548386,28.078064516129032,21.88032258064516,84.25129032258064,119.15
Lampung Barat,2019,1,18.85225806451613,24.42967741935484,27.88806451612903,21.943225806451615,86.37903225806451,322.2
Lampung Barat,2019,2,20.95,24.347857142857144,27.777142857142856,21.865000000000002,88.07392857142858,308.34
Lampung Barat,2019,3,19.010322580645163,24.124193548387098,27.478064516129034,21.60483870967742,87.56709677419354,334.44
Lampung Barat,2019,4,19.479,24.65533333333333,27.96333333333333,22.267999999999997,88.23066666666666,322.9
Lampung Barat,2019,5,18.438387096774196,24.46193548387097,27.660967741935483,22.05838709677419,88.61,67.44
Lampung Barat,2019,6,16.950333333333333,24.089,27.649333333333335,21.498,87.87100000000001,56.56
Lampung Barat,2019,7,18.14258064516129,23.66548387096774,27.789354838709677,20.559677419354838,84.98516129032258,72.71
Lampung Barat,2019,8,19.67096774193548,24.431935483870966,29.93903225806452,20.406774193548387,74.22322580645161,1.26
Lampung Barat,2019,9,21.498333333333335,25.791,32.25966666666667,20.782,64.99,4.52
Lampung Barat,2019,10,21.044193548387096,26.3141935483871,32.6241935483871,21.573548387096775,65.77193548387098,52.12
Lampung Barat,2019,11,21.674333333333333,26.772333333333332,32.75233333333333,22.366333333333333,65.98666666666666,48.11
Lampung Barat,2019,12,19.666451612903224,26.023548387096774,30.806774193548385,22.75483870967742,75.69419354838709,279.44
Lampung Barat,2020,1,18.181290322580644,24.567419354838712,27.691612903225806,22.312903225806455,88.79290322580646,457.3
Lampung Barat,2020,2,18.468620689655175,24.484827586206894,27.583448275862068,22.160344827586208,88.18931034482758,181.43
Lampung Barat,2020,3,18.76516129032258,24.478709677419356,27.291935483870965,22.370645161290323,89.56806451612904,367.65
Lampung Barat,2020,4,18.91866666666667,24.633666666666667,27.64966666666667,22.490333333333336,89.04299999999999,275.62
Lampung Barat,2020,5,16.76774193548387,24.78258064516129,27.679032258064513,22.728064516129034,89.6083870967742,184.35999999999999
Lampung Barat,2020,6,16.69066666666667,23.933333333333334,26.961000000000002,21.666666666666668,89.62466666666666,299.06
Lampung Barat,2020,7,17.32225806451613,23.53516129032258,26.877096774193546,21.07741935483871,88.78645161290324,146.29
Lampung Barat,2020,8,19.783548387096772,23.843548387096774,27.59741935483871,20.995806451612903,87.25483870967743,130.97
Lampung Barat,2020,9,18.515666666666668,24.053,28.046666666666667,21.197666666666667,85.97399999999999,101.72
Lampung Barat,2020,10,16.82774193548387,24.046774193548387,27.693225806451615,21.605483870967742,87.00903225806452,121.29
Lampung Barat,2020,11,17.033666666666665,24.375333333333334,28.35666666666667,21.653000000000002,85.03166666666667,130.94
Lampung Barat,2020,12,16.681290322580644,23.541935483870965,26.984193548387097,21.01806451612903,87.26870967741935,289.49
Lampung Barat,2021,1,16.369032258064514,23.626129032258063,26.557419354838707,21.404516129032256,88.7432258064516,323.37
Lampung Barat,2021,2,18.440714285714286,23.867142857142856,26.960714285714285,21.627142857142854,88.97214285714286,265.85
Lampung Barat,2021,3,20.12741935483871,23.78258064516129,27.074838709677422,21.28516129032258,87.83193548387096,167.77
Lampung Barat,2021,4,18.924333333333333,24.005,27.188333333333333,21.641333333333332,88.35799999999999,228.97
Lampung Barat,2021,5,18.200967741935486,24.65064516129032,27.875806451612902,22.36,88.89064516129032,88.44
Lampung Barat,2021,6,16.11766666666667,23.793333333333333,26.795333333333335,21.447333333333333,88.60799999999999,77.14
Lampung Barat,2021,7,17.733225806451614,23.623870967741937,27.406774193548387,20.669999999999998,86.0525806451613,54.05
Lampung Barat,2021,8,17.09741935483871,24.218064516129033,28.356774193548386,21.3141935483871,83.53645161290324,120.36
Lampung Barat,2021,9,18.07133333333333,24.366333333333333,28.444333333333336,21.469333333333335,84.432,160.64
Lampung Barat,2021,10,18.605806451612903,24.770967741935483,28.798709677419353,21.97290322580645,83.64064516129032,145.65
Lampung Barat,2021,11,17.088666666666665,23.726,26.874333333333333,21.482666666666667,88.85766666666667,367.25
Lampung Barat,2021,12,17.311612903225804,23.93935483870968,27.16516129032258,21.666129032258063,88.46677419354837,256.76
Lampung Barat,2022,1,19.549354838709675,23.806129032258063,26.727096774193548,21.70451612903226,89.66290322580646,316.48
Lampung Barat,2022,2,18.446428571428573,23.513214285714287,26.700714285714287,21.138214285714287,88.28607142857142,194.07999999999998
Lampung Barat,2022,3,19.495483870967742,24.043225806451613,27.30354838709677,21.67032258064516,87.55806451612904,122.21
Lampung Barat,2022,4,19.37366666666667,24.18433333333333,27.469333333333335,21.792666666666666,87.85133333333333,176.55
Lampung Barat,2022,5,16.614193548387096,24.36709677419355,27.37548387096774,22.095806451612905,89.17354838709677,194.9
Lampung Barat,2022,6,15.919333333333332,23.50433333333333,26.494666666666667,21.271333333333335,89.18833333333333,129.92
Lampung Barat,2022,7,15.990322580645161,23.801290322580645,27.010645161290324,21.32161290322581,88.02354838709678,82.17
Lampung Barat,2022,8,17.116451612903226,24.000645161290322,27.43967741935484,21.53806451612903,87.75806451612904,155.2
Lampung Barat,2022,9,17.002666666666666,23.790000000000003,27.358,21.274,87.02600000000001,81.45
Lampung Barat,2022,10,16.210322580645162,23.76258064516129,27.096129032258066,21.47290322580645,88.50419354838711,191.84
Lampung Barat,2022,11,17.52466666666667,23.937,27.437666666666665,21.482000000000003,87.47566666666667,132.07
Lampung Barat,2022,12,16.155483870967743,23.732903225806453,27.280645161290323,21.171612903225807,86.83258064516129,228.54
Lampung Barat,2023,1,18.026774193548388,23.401935483870968,26.581290322580646,21.083225806451615,89.22,341.97
Lampung Barat,2023,2,16.69857142857143,23.417499999999997,26.65285714285714,20.982142857142858,88.21892857142858,164.67
Lampung Barat,2023,3,19.563548387096777,23.942258064516132,27.09935483870968,21.649032258064516,89.09290322580645,296.2
Lampung Barat,2023,4,19.659,24.283,27.650666666666666,21.778000000000002,88.239,116.52
